timestamp,count,detections
2025-04-04T18:46:36.875954,10,"[[297, 456, 423, 711], [418, 473, 631, 694], [915, 432, 1028, 696], [187, 363, 285, 606], [710, 421, 798, 607], [821, 458, 882, 609], [78, 378, 1093, 673], [822, 436, 855, 505], [852, 439, 918, 647], [-4, 429, 191, 718]]"
2025-04-05T20:02:55.120152,8,"[[906, 441, 1019, 673], [503, 450, 668, 678], [812, 460, 872, 598], [255, 438, 381, 719], [790, 427, 865, 601], [663, 427, 743, 601], [389, 449, 526, 660], [120, 350, 1071, 711]]",/9j/4AAQSkZJRgABAQAAAQABAAD/2w...
2025-04-05T22:04:16.276564,10,"[[2, 382, 224, 718], [459, 449, 545, 704], [265, 459, 391, 714], [106, 417, 229, 646], [747, 478, 807, 588], [489, 458, 595, 709], [803, 453, 848, 572], [812, 458, 866, 590], [867, 434, 946, 642], [916, 444, 998, 652]]",/9j/4AAQSkZJRgABAQAAAQABAAD/2w...
2025-04-07T17:38:48.829000,7,"[[325, 600, 547, 1014], [933, 708, 1223, 1062], [274, 581, 482, 1015], [681, 674, 812, 824], [608, 642, 710, 797], [704, 626, 816, 791], [886, 645, 986, 839]]",/9j/4AAQSkZJRgABAQAAAQABAAD/2w...
2025-04-07T20:33:35.474788,4,"[[263, 557, 408, 888], [917, 654, 981, 749], [1026, 658, 1089, 750], [1, 630, 291, 1072]]",/9j/4AAQSkZJRgABAQAAAQABAAD/2w...
2025-04-07T20:43:51.589116,9,"[[222, 171, 269, 241], [233, 142, 248, 174], [113, 152, 145, 234], [159, 155, 195, 236], [96, 138, 126, 216], [119, 147, 155, 227], [43, 124, 67, 204], [218, 142, 235, 171], [170, 163, 217, 236]]",/9j/4AAQSkZJRgABAQAAAQABAAD/2w...
2025-04-08T19:27:27.244238,7,"[[325, 600, 547, 1014], [933, 708, 1223, 1062], [274, 581, 482, 1015], [681, 674, 812, 824], [608, 642, 710, 797], [704, 626, 816, 791], [886, 645, 986, 839]]",/9j/4AAQSkZJRgABAQAAAQABAAD/2w...
2025-04-09T17:12:39.534833,1,"[[51, 165, 89, 291]]",frame_data,149.86
2025-04-09T17:12:40.845863,2,"[[55, 162, 89, 297], [8, 129, 61, 290]]",frame_data,153.74
2025-04-09T17:12:42.272118,2,"[[27, 135, 80, 294], [124, 178, 140, 213]]",frame_data,92.44
2025-04-09T17:12:43.727607,1,"[[41, 131, 92, 294]]",frame_data,107.75
2025-04-09T17:12:44.580936,0,[],frame_data,98.27
2025-04-09T17:12:45.923504,0,[],frame_data,129.86
2025-04-09T17:12:46.877085,1,"[[58, 168, 124, 297]]",frame_data,92.78
2025-04-09T17:12:48.174582,1,"[[0, 187, 23, 293]]",frame_data,109.77
2025-04-09T17:12:49.136622,1,"[[184, 215, 216, 306]]",frame_data,82.1
2025-04-09T17:12:50.558299,0,[],frame_data,193.08
2025-04-09T17:12:51.360057,2,"[[2, 187, 77, 297], [179, 211, 223, 302]]",frame_data,65.91
2025-04-09T17:12:52.513820,3,"[[12, 185, 82, 299], [180, 210, 223, 302], [87, 171, 117, 292]]",frame_data,80.42
2025-04-09T17:12:54.478556,1,"[[179, 222, 222, 302]]",frame_data,107.51
2025-04-09T17:12:55.119962,3,"[[174, 227, 216, 302], [70, 199, 110, 302], [213, 223, 249, 300]]",frame_data,63.81
2025-04-09T17:12:55.944755,2,"[[210, 223, 252, 300], [88, 182, 122, 301]]",frame_data,56.56
2025-04-09T17:12:57.311024,3,"[[98, 183, 131, 298], [161, 222, 210, 303], [210, 222, 257, 300]]",frame_data,97.81
2025-04-09T17:12:58.194122,1,"[[103, 181, 135, 295]]",frame_data,85.61
2025-04-09T17:12:59.341773,1,"[[207, 221, 255, 300]]",frame_data,92.4
2025-04-09T17:13:00.271115,2,"[[116, 190, 145, 295], [146, 215, 181, 299]]",frame_data,78.84
2025-04-09T17:14:19.413227,1,"[[51, 165, 89, 291]]",frame_data,225.37
2025-04-09T17:14:20.432437,2,"[[55, 162, 89, 297], [8, 129, 61, 290]]",frame_data,109.29
2025-04-09T17:14:21.637146,2,"[[27, 135, 80, 294], [124, 178, 140, 213]]",frame_data,244.22
2025-04-09T17:14:22.798701,1,"[[41, 131, 92, 294]]",frame_data,96.52
2025-04-09T17:14:24.023098,0,[],frame_data,97.28
2025-04-09T17:14:25.095141,0,[],frame_data,69.66
2025-04-09T17:14:26.466611,1,"[[58, 168, 124, 297]]",frame_data,95.23
2025-04-09T17:14:27.688783,1,"[[0, 187, 23, 293]]",frame_data,118.02
2025-04-09T17:14:29.057119,1,"[[184, 215, 216, 306]]",frame_data,107.71
2025-04-09T17:14:29.993991,0,[],frame_data,79.96
2025-04-09T17:14:31.216884,2,"[[2, 187, 77, 297], [179, 211, 223, 302]]",frame_data,94.23
2025-04-09T17:14:32.982427,3,"[[12, 185, 82, 299], [180, 210, 223, 302], [87, 171, 117, 292]]",frame_data,147.31
2025-04-09T17:14:34.534978,1,"[[179, 222, 222, 302]]",frame_data,77.92
2025-04-09T17:14:35.660678,3,"[[174, 227, 216, 302], [70, 199, 110, 302], [213, 223, 249, 300]]",frame_data,149.41
2025-04-09T17:16:01.500483,1,"[[51, 165, 89, 291]]",frame_data,165.88
2025-04-09T17:16:04.738532,2,"[[55, 162, 89, 297], [8, 129, 61, 290]]",frame_data,81.29
2025-04-09T17:16:09.955194,2,"[[27, 135, 80, 294], [124, 178, 140, 213]]",frame_data,85.44
2025-04-09T17:16:12.934846,1,"[[41, 131, 92, 294]]",frame_data,109.83
